Date,buy_hold,momentum_20_100,mean_reversion_5,pead_yahoo,tradingagents_proxy,daily_stock_analysis_proxy,tradingagents_true,daily_stock_analysis_true
2024-01-02,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2024-01-03,95860.8782121944,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2024-01-04,95659.79457218423,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2024-01-05,95562.99107181311,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2024-01-08,100366.60358202849,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2024-01-09,98558.09224086521,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2024-01-10,100095.13658202764,100000.0,100828.38073694638,100000.0,100000.0,100828.38073694638,100000.0,100000.0
2024-01-11,100562.46733483039,100000.0,100625.68473243188,100000.0,100000.0,100625.68473243188,100000.0,100000.0
2024-01-12,99771.56790596702,100000.0,96379.69551159441,100000.0,100000.0,96379.69551159441,100000.0,100000.0
2024-01-16,98840.75246512085,100000.0,95016.2261682277,100000.0,100000.0,95016.2261682277,100000.0,100000.0
2024-01-17,98114.64347732719,100000.0,94140.57172927249,100000.0,100000.0,94140.57172927249,100000.0,100000.0
2024-01-18,98309.2199012944,100000.0,93307.91896055712,100000.0,100000.0,93307.91896055712,100000.0,100000.0
2024-01-19,99346.43042603688,100000.0,93427.82209916413,100000.0,100000.0,93427.82209916413,100000.0,100000.0
2024-01-22,100896.0178959178,100000.0,96152.26949215913,100000.0,100000.0,96152.26949215913,100000.0,100000.0
2024-01-23,100753.13167577788,100000.0,95463.97658875902,100000.0,100000.0,95463.97658875902,100000.0,100000.0
2024-01-24,101127.11152142275,100000.0,94243.74715003728,100000.0,100000.0,94243.74715003728,100000.0,100000.0
2024-01-25,101522.88035370254,100000.0,94650.1816982602,100000.0,100000.0,94650.1816982602,100000.0,100000.0
2024-01-26,101401.9096185212,100000.0,94560.65278350597,100000.0,100000.0,94560.65278350597,100000.0,100000.0
2024-01-29,105389.227244066,100000.0,97024.18671941584,100000.0,100000.0,97024.18671941584,100000.0,100000.0
2024-01-30,102662.28977676835,100000.0,95418.39799752399,100000.0,100000.0,95418.39799752399,100000.0,100000.0
2024-01-31,99651.75329548298,100000.0,92603.83330794277,93214.28903917082,100000.0,92603.83330794277,100000.0,100000.0
2024-02-01,101462.8539116979,100000.0,93352.64874568129,92023.81392995807,100000.0,93352.64874568129,100000.0,100000.0
2024-02-02,102192.99369077623,100000.0,94037.457089673,93809.52943209372,100000.0,94037.457089673,100000.0,100000.0
2024-02-05,99516.386606923,100000.0,90813.14329894095,90238.0984278224,100000.0,90813.14329894095,100000.0,100000.0
2024-02-06,101749.70453568627,100000.0,94292.12878912954,92857.14934472353,100000.0,94292.12878912954,100000.0,100000.0
2024-02-07,101420.84607922506,100000.0,92028.43866045534,91190.47851519259,100000.0,92028.43866045534,100000.0,100000.0
2024-02-08,105259.52024139737,100000.0,95000.37800635776,91190.47851519259,100000.0,95000.37800635776,100000.0,100000.0
2024-02-09,107323.1174000426,100000.0,96673.42645063694,96657.53348202592,100000.0,96673.42645063694,100000.0,100000.0
2024-02-12,108570.03414436248,100000.0,97873.6158277092,94744.0621581183,100000.0,97873.6158277092,100000.0,100000.0
2024-02-13,105489.30252483035,100000.0,97190.20941436489,91955.86287372373,100000.0,97190.20941436489,100000.0,100000.0
2024-02-14,111150.71743041625,100000.0,102292.79855301572,92338.5550529893,100000.0,102292.79855301572,100000.0,100000.0
2024-02-15,113542.13252998808,100000.0,102259.42594394018,93651.84638053946,100000.0,102259.42594394018,100000.0,100000.0
2024-02-16,113164.22623143291,100000.0,101712.75501212345,94814.13614810485,100000.0,101712.75501212345,100000.0,100000.0
2024-02-20,112080.89690226223,100000.0,100773.83842516017,94963.9697816907,100000.0,100773.83842516017,100000.0,100000.0
2024-02-21,109870.72506377238,100000.0,99656.49367862521,93974.473885501,100000.0,99656.49367862521,100000.0,100000.0
2024-02-22,112409.25180778882,100000.0,104322.79468127343,95099.98107200145,100000.0,104322.79468127343,100000.0,100000.0
2024-02-23,111787.55161346386,100000.0,103853.01618250842,96661.19321529579,100000.0,103853.01618250842,100000.0,100000.0
2024-02-26,115221.99716280494,100000.0,107930.02232806785,98207.77083180776,100000.0,107930.02232806785,100000.0,100000.0
2024-02-27,121334.94365465143,100000.0,108578.09961365294,99464.36744980617,100000.0,108578.09961365294,100000.0,100000.0
2024-02-28,116648.31960140685,100000.0,105991.27428560553,98970.25159279704,100000.0,105991.27428560553,100000.0,100000.0
2024-02-29,118191.07938600096,100000.0,107615.22031107858,100077.62222252067,100000.0,107615.22031107858,100000.0,100000.0
2024-03-01,119890.72416806994,100000.0,110038.00081949907,100791.90990438993,100000.0,110038.00081949907,100000.0,100000.0
2024-03-04,120373.32347016923,100000.0,110951.36731362074,98608.95551056245,100000.0,110951.36731362074,100000.0,100000.0
2024-03-05,115215.32401896366,100000.0,104598.181897604,96750.79732135231,100000.0,104598.181897604,100000.0,100000.0
2024-03-06,117040.70802450324,100000.0,107295.00883057415,96621.45630746838,100000.0,107295.00883057415,100000.0,100000.0
2024-03-07,117708.40825721323,100000.0,106863.25422623199,99536.42416612589,100000.0,106863.25422623199,100000.0,100000.0
2024-03-08,119008.65297961958,100000.0,108648.97972019126,99536.42416612589,100000.0,108648.97972019126,100000.0,100000.0
2024-03-11,117664.04077649508,100000.0,108324.08596404211,99536.42416612589,100000.0,108324.08596404211,100000.0,100000.0
2024-03-12,117265.8935981868,100000.0,106788.93546728327,99536.42416612589,100000.0,106788.93546728327,100000.0,100000.0
2024-03-13,117172.68514853847,100000.0,104521.24166041183,99536.42416612589,100000.0,104521.24166041183,100000.0,100000.0
2024-03-14,114293.76982941906,100000.0,98658.75669597757,99536.42416612589,100000.0,98658.75669597757,100000.0,100000.0
2024-03-15,113907.5966193222,100000.0,98383.13109418,99536.42416612589,100000.0,98383.13109418,100000.0,100000.0
2024-03-18,114503.07296097763,100000.0,96356.2215942872,99536.42416612589,100000.0,96356.2215942872,100000.0,100000.0
2024-03-19,113839.18412464064,100000.0,96171.45153626132,99536.42416612589,100000.0,96171.45153626132,100000.0,100000.0
2024-03-20,117525.84599152127,100000.0,98734.17467815515,99536.42416612589,100000.0,98734.17467815515,100000.0,100000.0
2024-03-21,117511.5399792987,100000.0,97857.99204588334,99536.42416612589,100000.0,97857.99204588334,100000.0,100000.0
2024-03-22,115833.22710467105,100000.0,96522.8058849301,99536.42416612589,100000.0,96522.8058849301,100000.0,100000.0
2024-03-25,116120.78229466069,100000.0,95266.2804514178,99536.42416612589,100000.0,95266.2804514178,100000.0,100000.0
2024-03-26,115485.95469432586,100000.0,96122.74931181649,99536.42416612589,100000.0,96122.74931181649,100000.0,100000.0
2024-03-27,117650.83019996907,100000.0,99560.01417421785,99536.42416612589,100000.0,99560.01417421785,100000.0,100000.0
2024-03-28,118308.9700853622,100000.0,99235.20624430475,99536.42416612589,100000.0,99235.20624430475,100000.0,100000.0
2024-04-01,117432.69730633778,100000.0,98915.79800373611,99536.42416612589,100000.0,98915.79800373611,100000.0,100000.0
2024-04-02,114552.23077133964,100000.0,96315.73683250342,99536.42416612589,100000.0,96315.73683250342,100000.0,100000.0
2024-04-03,115450.2826811659,100000.0,99191.32547863219,99536.42416612589,100000.0,99191.32547863219,100000.0,100000.0
2024-04-04,113695.52774233256,100000.0,100984.36101875028,99536.42416612589,100000.0,100984.36101875028,100000.0,100000.0
2024-04-05,115174.47790434473,100000.0,101534.66369872852,99536.42416612589,100000.0,101534.66369872852,100000.0,100000.0
2024-04-08,116750.23434682435,100000.0,104114.46559173436,99536.42416612589,100000.0,104114.46559173436,100000.0,100000.0
2024-04-09,116231.62689378556,100000.0,104103.77522917822,99536.42416612589,100000.0,104103.77522917822,100000.0,100000.0
2024-04-10,114996.34037285403,100000.0,101493.69730815523,99536.42416612589,100000.0,101493.69730815523,100000.0,100000.0
2024-04-11,116795.40742971085,100000.0,103507.54390681264,99536.42416612589,100000.0,103507.54390681264,100000.0,100000.0
2024-04-12,113900.9455173738,100000.0,101297.42340031172,99536.42416612589,100000.0,101297.42340031172,100000.0,100000.0
2024-04-15,111087.939921881,100000.0,97429.8031728684,99536.42416612589,100000.0,97429.8031728684,100000.0,100000.0
2024-04-16,111433.7776282871,100000.0,96719.40552841523,99536.42416612589,100000.0,96719.40552841523,100000.0,100000.0
2024-04-17,109474.96054578968,100000.0,93293.76132817614,99536.42416612589,100000.0,93293.76132817614,100000.0,100000.0
2024-04-18,109748.13683433202,100000.0,92831.60191688253,99536.42416612589,100000.0,92831.60191688253,100000.0,100000.0
2024-04-19,107925.96099293763,100000.0,90153.31653377642,99536.42416612589,100000.0,90153.31653377642,100000.0,100000.0
2024-04-22,109194.53884370816,100000.0,90462.25157765225,99536.42416612589,100000.0,90462.25157765225,100000.0,100000.0
2024-04-23,112621.79038025269,100000.0,92087.46357468098,99536.42416612589,100000.0,92087.46357468098,100000.0,100000.0
2024-04-24,113537.01674890229,100000.0,94346.72359951127,99536.42416612589,100000.0,94346.72359951127,100000.0,100000.0
2024-04-25,113583.15639732932,100000.0,94435.08542302372,99536.42416612589,100000.0,94435.08542302372,100000.0,100000.0
2024-04-26,115859.68653794669,100000.0,97167.73917719639,99536.42416612589,100000.0,97167.73917719639,100000.0,100000.0
2024-04-29,114936.10464003043,100000.0,97908.34393338604,99536.42416612589,100000.0,97908.34393338604,100000.0,100000.0
2024-04-30,112732.493546002,100000.0,94563.9193330999,99536.42416612589,100000.0,94563.9193330999,100000.0,100000.0
2024-05-01,112386.4166644258,100000.0,95721.88722831603,100083.53681399682,100000.0,95721.88722831603,100000.0,100000.0
2024-05-02,114722.12478815891,100000.0,98302.34871749581,101496.69932494119,100000.0,98302.34871749581,100000.0,100000.0
2024-05-03,114532.85806398817,100000.0,96533.57991794658,101046.16774980628,100000.0,96533.57991794658,100000.0,100000.0
2024-05-06,116833.37628229511,100000.0,99679.51691241578,102920.8522478364,100000.0,99679.51691241578,100000.0,100000.0
2024-05-07,119089.09325608646,100000.0,100554.11009998014,101563.64540084028,100000.0,100554.11009998014,100000.0,100000.0
2024-05-08,118668.86243409154,100000.0,98339.84727338368,100521.05907822544,100000.0,98339.84727338368,100000.0,100000.0
2024-05-09,119882.38181209411,100000.0,99979.42576781021,104724.65924997561,100000.0,99979.42576781021,100000.0,100000.0
2024-05-10,118123.16464949475,100000.0,97694.93382240027,101048.96300083533,100000.0,97694.93382240027,100000.0,100000.0
