date,symbol,model,decision,conviction,confidence,reasoning,metadata
2026-05-12,HIMS,pead_yahoo,sell,-1.0,0.95,EPS surprise -244.04% after earnings on 2026-05-11; hold 5 trading days,"{""eps_estimate"":0.13,""reported_eps"":-0.19,""surprise_pct"":-244.0400}"
2024-02-23,RLAY,pead_yahoo,buy,0.646,0.5792,EPS surprise 12.92% after earnings on 2024-02-22; hold 5 trading days,"{""eps_estimate"":-0.77,""reported_eps"":-0.67,""surprise_pct"":12.9200}"
2024-05-03,RLAY,pead_yahoo,buy,0.4945,0.5489,EPS surprise 9.89% after earnings on 2024-05-02; hold 5 trading days,"{""eps_estimate"":-0.69,""reported_eps"":-0.62,""surprise_pct"":9.8900}"
2024-08-07,RLAY,pead_yahoo,buy,0.267,0.5034,EPS surprise 5.34% after earnings on 2024-08-06; hold 5 trading days,"{""eps_estimate"":-0.73,""reported_eps"":-0.69,""surprise_pct"":5.3400}"
2024-11-07,RLAY,pead_yahoo,buy,0.981,0.6462,EPS surprise 19.62% after earnings on 2024-11-06; hold 5 trading days,"{""eps_estimate"":-0.78,""reported_eps"":-0.63,""surprise_pct"":19.6200}"
2025-02-27,RLAY,pead_yahoo,buy,0.895,0.629,EPS surprise 17.90% after earnings on 2025-02-26; hold 5 trading days,"{""eps_estimate"":-0.55,""reported_eps"":-0.45,""surprise_pct"":17.9000}"
2025-05-06,RLAY,pead_yahoo,buy,0.205,0.491,EPS surprise 4.10% after earnings on 2025-05-05; hold 5 trading days,"{""eps_estimate"":-0.48,""reported_eps"":-0.46,""surprise_pct"":4.1000}"
2025-08-08,RLAY,pead_yahoo,buy,0.6475,0.5795,EPS surprise 12.95% after earnings on 2025-08-07; hold 5 trading days,"{""eps_estimate"":-0.47,""reported_eps"":-0.41,""surprise_pct"":12.9500}"
2025-11-07,RLAY,pead_yahoo,sell,-0.1375,0.4775,EPS surprise -2.75% after earnings on 2025-11-06; hold 5 trading days,"{""eps_estimate"":-0.42,""reported_eps"":-0.43,""surprise_pct"":-2.7500}"
2026-02-27,RLAY,pead_yahoo,buy,1.0,0.6669,EPS surprise 21.69% after earnings on 2026-02-26; hold 5 trading days,"{""eps_estimate"":-0.4,""reported_eps"":-0.31,""surprise_pct"":21.6900}"
2026-05-06,RLAY,pead_yahoo,sell,-0.7505,0.6001,EPS surprise -15.01% after earnings on 2026-05-05; hold 5 trading days,"{""eps_estimate"":-0.36,""reported_eps"":-0.41,""surprise_pct"":-15.0100}"
2024-02-14,HOOD,pead_yahoo,buy,1.0,0.95,EPS surprise 72.19% after earnings on 2024-02-13; hold 5 trading days,"{""eps_estimate"":0.07,""reported_eps"":0.13,""surprise_pct"":72.1900}"
2024-05-09,HOOD,pead_yahoo,buy,1.0,0.95,EPS surprise 224.62% after earnings on 2024-05-08; hold 5 trading days,"{""eps_estimate"":0.06,""reported_eps"":0.18,""surprise_pct"":224.6200}"
2024-08-08,HOOD,pead_yahoo,buy,0.7995,0.6099,EPS surprise 15.99% after earnings on 2024-08-07; hold 5 trading days,"{""eps_estimate"":0.26,""reported_eps"":0.3,""surprise_pct"":15.9900}"
2025-02-13,HOOD,pead_yahoo,buy,1.0,0.95,EPS surprise 99.10% after earnings on 2025-02-12; hold 5 trading days,"{""eps_estimate"":0.52,""reported_eps"":1.04,""surprise_pct"":99.1000}"
2025-05-01,HOOD,pead_yahoo,buy,0.989,0.6478,EPS surprise 19.78% after earnings on 2025-04-30; hold 5 trading days,"{""eps_estimate"":0.37,""reported_eps"":0.44,""surprise_pct"":19.7800}"
2025-07-31,HOOD,pead_yahoo,buy,1.0,0.8099,EPS surprise 35.99% after earnings on 2025-07-30; hold 5 trading days,"{""eps_estimate"":0.31,""reported_eps"":0.42,""surprise_pct"":35.9900}"
2025-11-06,HOOD,pead_yahoo,buy,0.6035,0.5707,EPS surprise 12.07% after earnings on 2025-11-05; hold 5 trading days,"{""eps_estimate"":0.54,""reported_eps"":0.61,""surprise_pct"":12.0700}"
